Team1,Team2,Rounds,Stadium,City,Day,Month,Year,Score1,Score2,Remarks
Cameroon,Netherlands,Group Phase,Cape Town Stadium,Cape Town,24,6,2010,1,2,
Portugal,Brazil,Group Phase,Durban Stadium,Durban,25,6,2010,0,0,
Korea DPR,Côte d'Ivoire,Group Phase,Mbombela Stadium,Nelspruit,25,6,2010,0,3,
Chile,Spain,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,25,6,2010,1,2,
Switzerland,Honduras,Group Phase,Free State Stadium,Mangaung/Bloemfontein,25,6,2010,0,0,
Uruguay,Korea Republic,Round of 16,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,26,6,2010,2,1,
USA,Ghana,Round of 16,Royal Bafokeng Sports Palace,Phokeng,26,6,2010,1,2,Ghana win after extra time
Germany,England,Round of 16,Free State Stadium,Mangaung/Bloemfontein,27,6,2010,4,1,
Argentina,Mexico,Round of 16,Soccer City Stadium,Johannesburg,27,6,2010,3,1,
Netherlands,Slovakia,Round of 16,Durban Stadium,Durban,28,6,2010,2,1,
Brazil,Chile,Round of 16,Ellis Park Stadium,Johannesburg,28,6,2010,3,0,
Paraguay,Japan,Round of 16,Loftus Versfeld Stadium,Tshwane/Pretoria,29,6,2010,0,0,Paraguay win on penalties (5 - 3)
Spain,Portugal,Round of 16,Cape Town Stadium,Cape Town,29,6,2010,1,0,
Netherlands,Brazil,Quarter Finals,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,2,7,2010,2,1,
Uruguay,Ghana,Quarter Finals,Soccer City Stadium,Johannesburg,2,7,2010,1,1,Uruguay win on penalties (4 - 2)
Argentina,Germany,Quarter Finals,Cape Town Stadium,Cape Town,3,7,2010,0,4,
Paraguay,Spain,Quarter Finals,Ellis Park Stadium,Johannesburg,3,7,2010,0,1,
Uruguay,Netherlands,Semi Finals,Cape Town Stadium,Cape Town,6,7,2010,2,3,
Germany,Spain,Semi Finals,Durban Stadium,Durban,7,7,2010,0,1,
Uruguay,Germany,Play-off for third place,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,10,7,2010,2,3,
Netherlands,Spain,Finals,Soccer City Stadium,Johannesburg,11,7,2010,0,1,Spain win after extra time
Germany,Costa Rica,Group Phase,"FIFA World Cup Stadium, Munich",Munich,9,6,2006,4,2,
Poland,Ecuador,Group Phase,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,9,6,2006,0,2,
England,Paraguay,Group Phase,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,10,6,2006,1,0,
Trinidad and Tobago,Sweden,Group Phase,"FIFA World Cup Stadium, Dortmund",Dortmund,10,6,2006,0,0,
Argentina,Côte d'Ivoire,Group Phase,"FIFA World Cup Stadium, Hamburg",Hamburg,10,6,2006,2,1,
Serbia and Montenegro,Netherlands,Group Phase,Zentralstadion,Leipzig,11,6,2006,0,1,
Mexico,IR Iran,Group Phase,Franken-Stadion,Nuremberg,11,6,2006,3,1,
Angola,Portugal,Group Phase,"FIFA World Cup Stadium, Cologne",Cologne,11,6,2006,0,1,
Australia,Japan,Group Phase,Fritz-Walter-Stadion,Kaiserslautern,12,6,2006,3,1,
