Team1,Team2,Rounds,Year_com,Day,Month,Year,Score1,Score2,Ranking T1,Score T1,Ranking T2,Score T2,Winner
France,Nigeria,Round of 16,2014-6-30,30,6,2014,2,0,17.0,913,44.0,640,1
Germany,Algeria,Round of 16,2014-6-30,30,6,2014,2,1,2.0,1300,22.0,858,1
Brazil,Colombia,Quarter Finals,2014-7-4,4,7,2014,2,1,3.0,1242,8.0,1137,1
France,Germany,Quarter Finals,2014-7-4,4,7,2014,0,1,17.0,913,2.0,1300,2
Brazil,Germany,Semi Finals,2014-7-8,8,7,2014,1,7,3.0,1242,2.0,1300,2
Brazil,Netherlands,Play-off for third place,2014-7-12,12,7,2014,0,3,3.0,1242,15.0,981,2
Germany,Argentina,Finals,2014-7-13,13,7,2014,1,0,2.0,1300,5.0,1175,1
Netherlands,Argentina,Semi Finals,2014-7-9,9,7,2014,0,0,15.0,981,5.0,1175,0
Netherlands,Costa Rica,Quarter Finals,2014-7-5,5,7,2014,0,0,15.0,981,28.0,762,0
Argentina,Belgium,Quarter Finals,2014-7-5,5,7,2014,1,0,5.0,1175,11.0,1074,1
Netherlands,Mexico,Round of 16,2014-6-29,29,6,2014,2,1,15.0,981,20.0,882,1
Costa Rica,Greece,Round of 16,2014-6-29,29,6,2014,1,1,28.0,762,12.0,1064,0
Argentina,Switzerland,Round of 16,2014-7-1,1,7,2014,1,0,5.0,1175,6.0,1149,1
Belgium,USA,Round of 16,2014-7-1,1,7,2014,2,1,11.0,1074,13.0,1035,1
South Africa,Mexico,Group Phase,2010-6-11,11,6,2010,1,1,83.0,392,17.0,895,0
Uruguay,France,Group Phase,2010-6-11,11,6,2010,0,0,16.0,899,9.0,1044,0
Korea Republic,Greece,Group Phase,2010-6-12,12,6,2010,2,0,47.0,632,13.0,964,1
Argentina,Nigeria,Group Phase,2010-6-12,12,6,2010,1,0,7.0,1076,21.0,883,1
England,USA,Group Phase,2010-6-12,12,6,2010,1,1,8.0,1068,14.0,957,0
Algeria,Slovenia,Group Phase,2010-6-13,13,6,2010,0,1,30.0,821,25.0,860,2
Serbia,Ghana,Group Phase,2010-6-13,13,6,2010,0,1,15.0,947,32.0,800,2
Germany,Australia,Group Phase,2010-6-13,13,6,2010,4,0,6.0,1082,20.0,886,1
Netherlands,Denmark,Group Phase,2010-6-14,14,6,2010,2,0,4.0,1231,36.0,767,1
Japan,Cameroon,Group Phase,2010-6-14,14,6,2010,1,0,45.0,682,19.0,887,1
Italy,Paraguay,Group Phase,2010-6-14,14,6,2010,1,1,5.0,1184,31.0,820,0
New Zealand,Slovakia,Group Phase,2010-6-15,15,6,2010,1,1,78.0,410,34.0,777,0
Côte dIvoire,Portugal,Group Phase,2010-6-15,15,6,2010,0,0,27.0,856,3.0,1249,0
Brazil,Korea Republic,Group Phase,2010-6-15,15,6,2010,2,1,1.0,1611,105.0,285,1
Honduras,Chile,Group Phase,2010-6-16,16,6,2010,0,1,38.0,734,18.0,888,2
Spain,Switzerland,Group Phase,2010-6-16,16,6,2010,0,1,2.0,1565,24.0,866,2
South Africa,Uruguay,Group Phase,2010-6-16,16,6,2010,0,3,83.0,392,16.0,899,2
Argentina,Korea Republic,Group Phase,2010-6-17,17,6,2010,4,1,7.0,1076,47.0,632,1
Greece,Nigeria,Group Phase,2010-6-17,17,6,2010,2,1,13.0,964,21.0,883,1
France,Mexico,Group Phase,2010-6-17,17,6,2010,0,2,9.0,1044,17.0,895,2
Germany,Serbia,Group Phase,2010-6-18,18,6,2010,0,1,6.0,1082,15.0,947,2
Slovenia,USA,Group Phase,2010-6-18,18,6,2010,2,2,25.0,860,14.0,957,0
England,Algeria,Group Phase,2010-6-18,18,6,2010,0,0,8.0,1068,30.0,821,0
Netherlands,Japan,Group Phase,2010-6-19,19,6,2010,1,0,4.0,1231,45.0,682,1
Ghana,Australia,Group Phase,2010-6-19,19,6,2010,1,1,32.0,800,20.0,886,0
Cameroon,Denmark,Group Phase,2010-6-19,19,6,2010,1,2,19.0,887,36.0,767,2
Slovakia,Paraguay,Group Phase,2010-6-20,20,6,2010,0,2,34.0,777,31.0,820,2
Italy,New Zealand,Group Phase,2010-6-20,20,6,2010,1,1,5.0,1184,78.0,410,0
Brazil,Côte dIvoire,Group Phase,2010-6-20,20,6,2010,3,1,1.0,1611,27.0,856,1
Portugal,Korea Republic,Group Phase,2010-6-21,21,6,2010,7,0,3.0,1249,105.0,285,1
Chile,Switzerland,Group Phase,2010-6-21,21,6,2010,1,0,18.0,888,24.0,866,1
Spain,Honduras,Group Phase,2010-6-21,21,6,2010,2,0,2.0,1565,38.0,734,1
Mexico,Uruguay,Group Phase,2010-6-22,22,6,2010,0,1,17.0,895,16.0,899,2
France,South Africa,Group Phase,2010-6-22,22,6,2010,1,2,9.0,1044,83.0,392,2
Nigeria,Korea Republic,Group Phase,2010-6-22,22,6,2010,2,2,21.0,883,47.0,632,0
Greece,Argentina,Group Phase,2010-6-22,22,6,2010,0,2,13.0,964,7.0,1076,2
Slovenia,England,Group Phase,2010-6-23,23,6,2010,0,1,25.0,860,8.0,1068,2
USA,Algeria,Group Phase,2010-6-23,23,6,2010,1,0,14.0,957,30.0,821,1
Ghana,Germany,Group Phase,2010-6-23,23,6,2010,0,1,32.0,800,6.0,1082,2
Australia,Serbia,Group Phase,2010-6-23,23,6,2010,2,1,20.0,886,15.0,947,1
Slovakia,Italy,Group Phase,2010-6-24,24,6,2010,3,2,34.0,777,5.0,1184,1
Paraguay,New Zealand,Group Phase,2010-6-24,24,6,2010,0,0,31.0,820,78.0,410,0
Denmark,Japan,Group Phase,2010-6-24,24,6,2010,1,3,36.0,767,45.0,682,2
Cameroon,Netherlands,Group Phase,2010-6-24,24,6,2010,1,2,19.0,887,4.0,1231,2
Portugal,Brazil,Group Phase,2010-6-25,25,6,2010,0,0,3.0,1249,1.0,1611,0
Korea Republic,Côte dIvoire,Group Phase,2010-6-25,25,6,2010,0,3,105.0,285,27.0,856,2
Chile,Spain,Group Phase,2010-6-25,25,6,2010,1,2,18.0,888,2.0,1565,2
Switzerland,Honduras,Group Phase,2010-6-25,25,6,2010,0,0,24.0,866,38.0,734,0
Uruguay,Korea Republic,Round of 16,2010-6-26,26,6,2010,2,1,16.0,899,47.0,632,1
USA,Ghana,Round of 16,2010-6-26,26,6,2010,1,2,14.0,957,32.0,800,2
Germany,England,Round of 16,2010-6-27,27,6,2010,4,1,6.0,1082,8.0,1068,1
Argentina,Mexico,Round of 16,2010-6-27,27,6,2010,3,1,7.0,1076,17.0,895,1
Netherlands,Slovakia,Round of 16,2010-6-28,28,6,2010,2,1,4.0,1231,34.0,777,1
Brazil,Chile,Round of 16,2010-6-28,28,6,2010,3,0,1.0,1611,18.0,888,1
Paraguay,Japan,Round of 16,2010-6-29,29,6,2010,0,0,31.0,820,45.0,682,0
Spain,Portugal,Round of 16,2010-6-29,29,6,2010,1,0,2.0,1565,3.0,1249,1
Netherlands,Brazil,Quarter Finals,2010-7-2,2,7,2010,2,1,4.0,1231,1.0,1611,1
Uruguay,Ghana,Quarter Finals,2010-7-2,2,7,2010,1,1,16.0,899,32.0,800,0
Argentina,Germany,Quarter Finals,2010-7-3,3,7,2010,0,4,7.0,1076,6.0,1082,2
Paraguay,Spain,Quarter Finals,2010-7-3,3,7,2010,0,1,31.0,820,2.0,1565,2
Uruguay,Netherlands,Semi Finals,2010-7-6,6,7,2010,2,3,16.0,899,4.0,1231,2
Germany,Spain,Semi Finals,2010-7-7,7,7,2010,0,1,6.0,1082,2.0,1565,2
Uruguay,Germany,Play-off for third place,2010-7-10,10,7,2010,2,3,16.0,899,6.0,1082,2
Netherlands,Spain,Finals,2010-7-11,11,7,2010,0,1,4.0,1231,2.0,1565,2
Germany,Costa Rica,Group Phase,2006-6-9,9,6,2006,4,2,19.0,696.0,26.0,683.0,1
Poland,Ecuador,Group Phase,2006-6-9,9,6,2006,0,2,29.0,677.0,39.0,631.0,2
England,Paraguay,Group Phase,2006-6-10,10,6,2006,1,0,10.0,741.0,33.0,653.0,1
Trinidad and Tobago,Sweden,Group Phase,2006-6-10,10,6,2006,0,0,47.0,604.0,16.0,709.0,0
Argentina,Côte dIvoire,Group Phase,2006-6-10,10,6,2006,2,1,9.0,746.0,32.0,669.0,1
Serbia and Montenegro,Netherlands,Group Phase,2006-6-11,11,6,2006,0,1,44.0,610.0,3.0,768.0,2
Mexico,IR Iran,Group Phase,2006-6-11,11,6,2006,3,1,4.0,758.0,23.0,686.0,1
Angola,Portugal,Group Phase,2006-6-11,11,6,2006,0,1,57.0,581.0,7.0,750.0,2
Australia,Japan,Group Phase,2006-6-12,12,6,2006,3,1,42.0,612.0,18.0,705.0,1
USA,Czech Republic,Group Phase,2006-6-12,12,6,2006,0,3,5.0,756.0,2.0,772.0,2
Italy,Ghana,Group Phase,2006-6-12,12,6,2006,2,0,13.0,728.0,48.0,600.0,1
Korea Republic,Togo,Group Phase,2006-6-13,13,6,2006,2,1,29.0,677.0,61.0,569.0,1
France,Switzerland,Group Phase,2006-6-13,13,6,2006,0,0,8.0,749.0,35.0,648.0,0
Brazil,Croatia,Group Phase,2006-6-13,13,6,2006,1,0,1.0,827.0,23.0,686.0,1
Spain,Ukraine,Group Phase,2006-6-14,14,6,2006,4,0,5.0,756.0,45.0,609.0,1
Tunisia,Saudi Arabia,Group Phase,2006-6-14,14,6,2006,2,2,21.0,693.0,34.0,651.0,0
Germany,Poland,Group Phase,2006-6-14,14,6,2006,1,0,19.0,696.0,29.0,677.0,1
Ecuador,Costa Rica,Group Phase,2006-6-15,15,6,2006,3,0,39.0,631.0,26.0,683.0,1
England,Trinidad and Tobago,Group Phase,2006-6-15,15,6,2006,2,0,10.0,741.0,47.0,604.0,1
Sweden,Paraguay,Group Phase,2006-6-15,15,6,2006,1,0,16.0,709.0,33.0,653.0,1
Argentina,Serbia and Montenegro,Group Phase,2006-6-16,16,6,2006,6,0,9.0,746.0,44.0,610.0,1
Netherlands,Côte dIvoire,Group Phase,2006-6-16,16,6,2006,2,1,3.0,768.0,32.0,669.0,1
Mexico,Angola,Group Phase,2006-6-16,16,6,2006,0,0,4.0,758.0,57.0,581.0,0
Portugal,IR Iran,Group Phase,2006-6-17,17,6,2006,2,0,7.0,750.0,23.0,686.0,1
Czech Republic,Ghana,Group Phase,2006-6-17,17,6,2006,0,2,2.0,772.0,48.0,600.0,2
Italy,USA,Group Phase,2006-6-17,17,6,2006,1,1,13.0,728.0,5.0,756.0,0
Japan,Croatia,Group Phase,2006-6-18,18,6,2006,0,0,18.0,705.0,23.0,686.0,0
Brazil,Australia,Group Phase,2006-6-18,18,6,2006,2,0,1.0,827.0,42.0,612.0,1
